OLIGOTYPE,PHYLUM,NUM_BEST_HITS,BEST_PCT_ID,BEST_FULL_PCT_ID,HMTs,BODY_SITE,Assign_reads_to,Notes,HOMD_SPECIES,STRAIN_CLONE,HOMD_REFSEQ_ID,GB_NCBI_ID,HOMD_STATUS,
V3V5_304_Firmicutes,Firmicutes,1,100,100,HMT-543,TD,100,,Streptococcus anginosus,Strain: ATCC 33397,543_4678,AF104678,Named,
V3V5_255_Betaproteobacteria,Betaproteobacteria,1,100,100,"HMT-023,HMT-023",TH,100,,"Delftia acidovorans,Delftia acidovorans","Strain: 158,Strain: MBIC 1305","023_2803,023_0186","AJ002803,AB020186","Named,Named",
V3V5_175_Fusobacteria,Fusobacteria,1,99.618,99.618,HMT-215,"PT,TD,TH",100,,Leptotrichia sp. HMT 215,Clone: DR011,215DR011,AF385518,Unnamed,
V3V5_221_Fusobacteria,Fusobacteria,1,99.618,99.618,HMT-215,"PT,TD,TH",100,,Leptotrichia sp. HMT 215,Clone: DR011,215DR011,AF385518,Unnamed,
V3V5_074_Fusobacteria,Fusobacteria,1,99.618,99.618,HMT-218,"PT,TH",100,,Leptotrichia sp. HMT 218,Clone: EI013,218EI013,AF385571,Phylotype,
V3V5_273_Fusobacteria,Fusobacteria,1,99.618,99.618,HMT-225,"SUBP,SUPP",100,,Leptotrichia sp. HMT 225,Strain: FEA2,225_FEA2,GQ422731,Unnamed,
V3V5_278_Fusobacteria,Fusobacteria,1,99.618,99.618,HMT-563,"SUBP,SUPP",100,,Leptotrichia buccalis,Strain: not listed,563_7788,L37788,Named,
V3V5_281_Fusobacteria,Fusobacteria,1,99.618,99.618,HMT-217,"SUBP,SUPP",100,,Leptotrichia sp. HMT 217,Clone: DT031,217DT031,AF366276,Phylotype,
V3V5_299_Fusobacteria,Fusobacteria,1,99.618,99.618,HMT-212,"SUBP,SUPP",100,,Leptotrichia sp. HMT 212,Clone: BU064,212BU064,AY008309,Unnamed,
V3V5_248_Firmicutes,Firmicutes,1,99.6,99.6,HMT-168,"HP,PT,SV,TD,TH",100,,Peptococcus sp. HMT 168,Clone: _I070,168_I070,AF287780,Phylotype,
V3V5_333_Firmicutes,Firmicutes,1,99.6,99.6,HMT-165,"HP,SV,TD,TH",100,,Catonella morbi,Clone: EZ006,165EZ006,AF385577,Named,
V3V5_316_Firmicutes,Firmicutes,1,99.6,99.6,"HMT-122,HMT-122","PT,SV,TD",100,,"Megasphaera micronuciformis,Megasphaera micronuciformis","Clone: 16sps19-3e12.p1k,Clone: BU057","122_6527,122BU057","FM996527,AF385566","Named,Named",
V3V5_218_Firmicutes,Firmicutes,1,99.6,99.6,"HMT-082,HMT-082","PT,TD,TH",100,,"Lachnoanaerobaculum orale,Lachnoanaerobaculum orale","Clone: BE088,Strain: F0431","082BE088,082F0431","AF385552,tbd","Named,Named",
V3V5_348_Firmicutes,Firmicutes,1,99.6,99.6,"HMT-082,HMT-082","PT,TD,TH",100,,"Lachnoanaerobaculum orale,Lachnoanaerobaculum orale","Clone: BE088,Strain: F0431","082BE088,082F0431","AF385552,tbd","Named,Named",
V3V5_108_Firmicutes,Firmicutes,1,99.598,99.598,"HMT-108,HMT-108","PT,SV,TD,TH",100,,"Oribacterium asaccharolyticum,Oribacterium asaccharolyticum","Strain: ACB7,Strain: F0425","108_5571,108F0425","NR_125571,tbd","Named,Named",
V3V5_335_Firmicutes,Firmicutes,1,99.598,99.598,HMT-455,"PT,SV,TD,TH",100,,Butyrivibrio sp. HMT 455,Clone: GI038,455GI038,AY349374,Phylotype,
V3V5_057_Bacteroidetes,Bacteroidetes,1,99.59,99.59,HMT-307,"PT,SV,TD,TH",100,,Prevotella salivae,Strain: DSM 15606,307_8826,AB108826,Named,
V3V5_372_Bacteroidetes,Bacteroidetes,1,99.59,99.59,HMT-619,SUBP,100,,Porphyromonas gingivalis,Strain: DSM 20709,619_3964,X73964,Named,
V3V5_245_Bacteroidetes,Bacteroidetes,1,99.588,99.588,"HMT-329,HMT-329,HMT-329","KG,SUBP,SUPP",100,,"Capnocytophaga leadbetteri,Capnocytophaga leadbetteri,Capnocytophaga leadbetteri","Clone: BR085,Clone: BU084,Clone: BM058","329BR085,329BU084,329BM058","GU350453,AF385569,AY005075","Named,Named,Named",
V3V5_204_Bacteroidetes,Bacteroidetes,1,99.588,99.588,HMT-466,"PT,SUBP,SV,TH",100,,Alloprevotella tannerae,Strain: ATCC 51259,466_5634,AJ005634,Named,
V3V5_155_Bacteroidetes,Bacteroidetes,1,99.588,99.588,HMT-311,SUBP,100,,Prevotella oris,Strain: ATCC 33573,311_6474,L16474,Named,
V3V5_191_Bacteroidetes,Bacteroidetes,1,99.588,99.588,HMT-311,SUBP,100,,Prevotella oris,Strain: ATCC 33573,311_6474,L16474,Named,
V3V5_272_Bacteroidetes,Bacteroidetes,1,99.588,99.588,HMT-781,"SUBP,SUPP",100,,Prevotella saccharolytica,Strain: JCM 17484,781_3320,NR_113320,Named,
V3V5_201_Bacteroidetes,Bacteroidetes,1,99.587,99.587,HMT-322,"BM,HP,KG,PT,SUPP,SV,TD,TH",100,,Bergeyella sp. HMT 322,Clone: AK152,322AK152,AY008691,Phylotype,
V3V5_051_Bacteroidetes,Bacteroidetes,1,99.587,99.587,HMT-308,"HP,PT,SV,TD,TH",100,,Alloprevotella sp. HMT 308,Clone: DO039,308DO039,AF385513,Phylotype,
V3V5_257_Bacteroidetes,Bacteroidetes,1,99.587,99.587,HMT-322,"HP,PT,TD",100,,Bergeyella sp. HMT 322,Clone: AK152,322AK152,AY008691,Phylotype,
V3V5_081_Bacteroidetes,Bacteroidetes,1,99.587,99.587,HMT-473,KG,100,,Alloprevotella sp. HMT 473,Clone: IK062,473IK062,AY349402,Unnamed,
V3V5_084_Bacteroidetes,Bacteroidetes,1,99.587,99.587,HMT-930,KG,100,,Porphyromonas sp. HMT 930,Clone: 071041_260,930_8499,JQ468499,Phylotype,
V3V5_142_Bacteroidetes,Bacteroidetes,1,99.587,99.587,HMT-473,KG,100,,Alloprevotella sp. HMT 473,Clone: IK062,473IK062,AY349402,Unnamed,
V3V5_244_Bacteroidetes,Bacteroidetes,1,99.587,99.587,HMT-299,KG,100,,Prevotella nanceiensis,Clone: BI027,299BI027,AY005064,Named,
V3V5_297_Bacteroidetes,Bacteroidetes,1,99.587,99.587,HMT-473,KG,100,,Alloprevotella sp. HMT 473,Clone: HF050,473HF050,AY349399,Unnamed,
V3V5_223_Bacteroidetes,Bacteroidetes,1,99.587,99.587,HMT-473,"KG,PT",100,,Alloprevotella sp. HMT 473,Clone: IK062,473IK062,AY349402,Unnamed,
V3V5_156_Bacteroidetes,Bacteroidetes,1,99.587,99.587,HMT-322,"KG,SUBP,SUPP",100,,Bergeyella sp. HMT 322,Clone: AK152,322AK152,AY008691,Phylotype,
V3V5_362_Bacteroidetes,Bacteroidetes,1,99.587,99.587,HMT-473,"PT,SUBP,SUPP,SV",100,,Alloprevotella sp. HMT 473,Clone: IK062,473IK062,AY349402,Unnamed,
V3V5_158_Bacteroidetes,Bacteroidetes,1,99.587,99.587,HMT-303,SUBP,100,,Prevotella pleuritidis,Clone: 102D01,303_9992,AM419992,Named,
V3V5_116_Actinobacteria,Actinobacteria,1,99.587,99.587,HMT-666,"SUBP,SUPP",100,,Corynebacterium matruchotii,Strain: ChDC OS35,666_3287,AF543287,Named,
V3V5_186_Bacteroidetes,Bacteroidetes,1,99.587,99.587,HMT-274,"SUBP,SUPP",100,,Bacteroidales [G-2] bacterium HMT 274,Clone: 071040_120,274_8173,JQ468173,Unnamed,
V3V5_039_Bacteroidetes,Bacteroidetes,1,99.587,99.587,HMT-299,"SV,TD",100,,Prevotella nanceiensis,Clone: BI027,299BI027,AY005064,Named,
V3V5_344_Bacteroidetes,Bacteroidetes,1,99.585,99.585,HMT-943,"HP,PT,SV,TD",100,,Prevotella aurantiaca,Strain: OMA31,943_2878,NR_112878,Named,
V3V5_143_Bacteroidetes,Bacteroidetes,1,99.585,99.585,"HMT-693,HMT-693","PT,SUBP",100,,"Prevotella nigrescens,Prevotella nigrescens","Strain: F0103,Strain: NCTC 9336","693F0103,693_3963","GU470890,X73963","Named,Named",
V3V5_290_Bacteroidetes,Bacteroidetes,1,99.585,99.585,HMT-693,"PT,SUBP",100,,Prevotella nigrescens,Strain: NCTC 9336,693_3963,X73963,Named,
V3V5_330_Bacteroidetes,Bacteroidetes,1,99.585,99.585,HMT-305,"PT,SV,TD,TH",100,,Prevotella sp. HMT 305,Clone: 070055_034,305_0424,JQ460424,Phylotype,
V3V5_253_Bacteroidetes,Bacteroidetes,1,99.585,99.585,HMT-693,SUBP,100,,Prevotella nigrescens,Strain: F0103,693F0103,GU470890,Named,
V3V5_113_Bacteroidetes,Bacteroidetes,1,99.585,99.585,"HMT-472,HMT-472","SUBP,SUPP",100,,"Prevotella sp. HMT 472,Prevotella sp. HMT 472","Clone: GU027,Clone: 070034_820","472GU027,472_2261","AY349398,JQ462261","Unnamed,Unnamed",
V3V5_147_Bacteroidetes,Bacteroidetes,1,99.585,99.585,HMT-317,"SUBP,SUPP",100,,Prevotella sp. HMT 317,Strain: B31FD,317_5061,AY005061,Unnamed,
V3V5_350_Bacteroidetes,Bacteroidetes,1,99.585,99.585,HMT-693,"SUBP,SUPP",100,,Prevotella nigrescens,Strain: NCTC 9336,693_3963,X73963,Named,
V3V5_315_Bacteroidetes,Bacteroidetes,1,99.585,99.585,"HMT-572,HMT-572","SUBP,SUPP,SV",100,,"Prevotella veroralis,Prevotella veroralis","Strain: JCM 6290,Clone: 071062_262","572_3124,572_4079","NR_113124,JQ474079","Named,Named",
V3V5_222_Bacteroidetes,Bacteroidetes,1,99.583,99.583,"HMT-775,HMT-775","SUBP,SUPP",100,,"Capnocytophaga sputigena,Capnocytophaga sputigena","Strain: ATCC 33612,Clone: 071064_219","775_7609,775_4920","X67609,JQ474920","Named,Named",
V3V5_251_Bacteroidetes,Bacteroidetes,1,99.583,99.583,"HMT-775,HMT-775","SUBP,SUPP",100,,"Capnocytophaga sputigena,Capnocytophaga sputigena","Strain: ATCC 33612,Clone: 071064_219","775_7609,775_4920","X67609,JQ474920","Named,Named",
V3V5_061_Actinobacteria,Actinobacteria,1,99.582,99.582,HMT-723,"HP,PT,SV,TD,TH",100,,Atopobium parvulum,Strain: ATCC22793,723_2372,AF292372,Named,
V3V5_265_Betaproteobacteria,Betaproteobacteria,1,99.574,99.574,"HMT-894,HMT-894","SUBP,SUPP",100,,"Ottowia sp. HMT 894,Ottowia sp. HMT 894","Strain: W10237,Clone: BL117","894-Wade,894Wade2","tbd,JQ406530","Unnamed,Unnamed",
V3V5_014_Gammaproteobacteria,Gammaproteobacteria,1,99.573,99.573,HMT-718,"BM,HP,PT,SV,TD,TH",100,,Haemophilus parainfluenzae,Strain: CIP 102513,718_3530,EU083530,Named,
V3V5_019_Gammaproteobacteria,Gammaproteobacteria,1,99.573,99.573,"HMT-718,HMT-718","BM,KG,SUPP,SV",100,,"Haemophilus parainfluenzae,Haemophilus parainfluenzae","Clone: ncd81b03c1,Strain: CIP 102513","718N000A,718_3530","HM255881,EU083530","Named,Named",
V3V5_035_Gammaproteobacteria,Gammaproteobacteria,1,99.573,99.573,HMT-718,"HP,KG,PT,SV,TD,TH",100,,Haemophilus parainfluenzae,Clone: ncd81b03c1,718N000A,HM255881,Named,
V3V5_098_Gammaproteobacteria,Gammaproteobacteria,1,99.573,99.573,HMT-718,"HP,PT,SV,TD,TH",100,,Haemophilus parainfluenzae,Clone: ncd81b03c1,718N000A,HM255881,Named,
V3V5_023_Gammaproteobacteria,Gammaproteobacteria,1,99.573,99.573,HMT-718,KG,100,,Haemophilus parainfluenzae,Clone: ncd81b03c1,718N000A,HM255881,Named,
V3V5_341_Gammaproteobacteria,Gammaproteobacteria,1,99.573,99.573,HMT-718,"SUBP,SUPP,SV",100,,Haemophilus parainfluenzae,Clone: ncd81b03c1,718N000A,HM255881,Named,
V3V5_120_Gammaproteobacteria,Gammaproteobacteria,1,99.573,99.573,HMT-718,SUPP,100,,Haemophilus parainfluenzae,Strain: CIP 102513,718_3530,EU083530,Named,
V3V5_374_Epsilonproteobacteria,Epsilonproteobacteria,1,99.533,99.533,HMT-812,HP,100,,Helicobacter pylori,Strain: ATCC 43504,812_8157,M88157,Named,
V3V5_396_Spirochaetes,Spirochaetes,1,99.528,99.528,HMT-264,SUBP,100,,Treponema sp. HMT 264,Clone: BZ013,264BZ013,AF385536,Phylotype,
V3V5_055_Fusobacteria,Fusobacteria,1,100,99.234,HMT-201,"HP,PT,SV,TD,TH",100,,Fusobacterium periodonticum,Clone: BS011,201BS011,AF432130,Named,
V3V5_157_Fusobacteria,Fusobacteria,1,100,99.234,HMT-420,SUBP,100,,Fusobacterium nucleatum subsp. animalis,Strain: NCTC 12276,420_5404,X55404,Named,
V3V5_275_Firmicutes,Firmicutes,1,99.2,99.2,HMT-107,"SUBP,SUPP",100,,Lachnoanaerobaculum umeaense,Strain: F0167,107F0167,tbd,Named,
V3V5_283_Firmicutes,Firmicutes,1,99.197,99.197,"HMT-108,HMT-108","PT,SV,TD,TH",100,,"Oribacterium asaccharolyticum,Oribacterium asaccharolyticum","Strain: ACB7,Strain: F0425","108_5571,108F0425","NR_125571,tbd","Named,Named",
V3V5_124_Bacteroidetes,Bacteroidetes,1,99.18,99.18,HMT-307,"PT,SV,TD,TH",100,,Prevotella salivae,Strain: DSM 15606,307_8826,AB108826,Named,
V3V5_134_Bacteroidetes,Bacteroidetes,1,99.18,99.18,HMT-307,"SV,TH",100,,Prevotella salivae,Strain: DSM 15606,307_8826,AB108826,Named,
V3V5_066_Bacteroidetes,Bacteroidetes,1,99.174,99.174,HMT-473,KG,100,,Alloprevotella sp. HMT 473,Clone: IK062,473IK062,AY349402,Unnamed,
V3V5_122_Bacteroidetes,Bacteroidetes,1,99.174,99.174,"HMT-473,HMT-473",KG,100,,"Alloprevotella sp. HMT 473,Alloprevotella sp. HMT 473","Clone: IK062,Clone: HF050","473IK062,473HF050","AY349402,AY349399","Unnamed,Unnamed",
V3V5_167_Bacteroidetes,Bacteroidetes,1,99.174,99.174,HMT-473,KG,100,,Alloprevotella sp. HMT 473,Clone: IK062,473IK062,AY349402,Unnamed,
V3V5_174_Bacteroidetes,Bacteroidetes,1,99.174,99.174,HMT-473,KG,100,,Alloprevotella sp. HMT 473,Clone: IK062,473IK062,AY349402,Unnamed,
V3V5_202_Bacteroidetes,Bacteroidetes,1,99.174,99.174,"HMT-473,HMT-473",KG,100,,"Alloprevotella sp. HMT 473,Alloprevotella sp. HMT 473","Clone: IK062,Clone: HF050","473IK062,473HF050","AY349402,AY349399","Unnamed,Unnamed",
V3V5_079_Bacteroidetes,Bacteroidetes,1,99.174,99.174,"HMT-302,HMT-302","PT,SV,TH",100,,"Alloprevotella rava,Alloprevotella rava","Strain: W6968,Strain: F0020","302_9190,302F0020","JQ039190,GQ422736","Named,Named",
V3V5_085_Bacteroidetes,Bacteroidetes,1,99.174,99.174,HMT-274,SUBP,100,,Bacteroidales [G-2] bacterium HMT 274,Clone: 071040_120,274_8173,JQ468173,Unnamed,
V3V5_286_Actinobacteria,Actinobacteria,1,99.174,99.174,HMT-666,SUBP,100,,Corynebacterium matruchotii,Strain: ChDC OS35,666_3287,AF543287,Named,
V3V5_118_Bacteroidetes,Bacteroidetes,1,99.174,99.174,HMT-332,"SUBP,SUPP",100,,Capnocytophaga sp. HMT 332,Clone: DS022,332DS022,AF366270,Unnamed,
V3V5_137_Actinobacteria,Actinobacteria,1,99.174,99.174,HMT-666,"SUBP,SUPP",100,,Corynebacterium matruchotii,Clone: ncd2560d03c1,666N000A,JF218742,Named,
V3V5_340_Bacteroidetes,Bacteroidetes,1,99.174,99.174,HMT-322,"SUBP,SUPP",100,,Bergeyella sp. HMT 322,Clone: AK152,322AK152,AY008691,Phylotype,
V3V5_355_Bacteroidetes,Bacteroidetes,1,99.174,99.174,HMT-317,"SUBP,SUPP",100,,Prevotella sp. HMT 317,Strain: B31FD,317_5061,AY005061,Unnamed,
V3V5_217_Bacteroidetes,Bacteroidetes,1,99.17,99.17,HMT-317,SUBP,100,,Prevotella sp. HMT 317,Strain: B31FD,317_5061,AY005061,Unnamed,
V3V5_183_Bacteroidetes,Bacteroidetes,1,99.17,99.17,HMT-337,"SUBP,SUPP",100,,Capnocytophaga gingivalis,Strain: S3,337-S3,AY005073,Named,
V3V5_260_Gammaproteobacteria,Gammaproteobacteria,1,99.145,99.145,HMT-718,BM,100,,Haemophilus parainfluenzae,Strain: CIP 102513,718_3530,EU083530,Named,
V3V5_279_Gammaproteobacteria,Gammaproteobacteria,1,99.145,99.145,"HMT-718,HMT-718","HP,KG,PT,SV,TD",100,,"Haemophilus parainfluenzae,Haemophilus parainfluenzae","Clone: ncd81b03c1,Strain: CIP 102513","718N000A,718_3530","HM255881,EU083530","Named,Named",
V3V5_095_Gammaproteobacteria,Gammaproteobacteria,1,99.145,99.145,HMT-718,"HP,PT,SV,TD,TH",100,,Haemophilus parainfluenzae,Clone: ncd81b03c1,718N000A,HM255881,Named,
V3V5_199_Gammaproteobacteria,Gammaproteobacteria,1,99.145,99.145,"HMT-718,HMT-718","HP,PT,SV,TD,TH",100,,"Haemophilus parainfluenzae,Haemophilus parainfluenzae","Clone: ncd81b03c1,Strain: CIP 102513","718N000A,718_3530","HM255881,EU083530","Named,Named",
V3V5_357_Spirochaetes,Spirochaetes,1,99.052,99.052,HMT-253,"PT,SUBP,SUPP,SV",100,,Treponema sp. HMT 253,Clone: BQ032,253BQ032,AF182838,Phylotype,
V3V5_195_Firmicutes,Firmicutes,1,98.805,98.805,HMT-100,"PT,SV,TD,TH",100,,Lachnospiraceae [G-3] bacterium HMT 100,Clone: EI074,100EI074,AF385573,Phylotype,
V3V5_216_Bacteroidetes,Bacteroidetes,1,98.77,98.77,HMT-466,"PT,SUBP",100,,Alloprevotella tannerae,Strain: ATCC 51259,466_5634,AJ005634,Named,
V3V5_298_Bacteroidetes,Bacteroidetes,1,98.76,98.76,HMT-473,KG,100,,Alloprevotella sp. HMT 473,Clone: IK062,473IK062,AY349402,Unnamed,
V3V5_230_Bacteroidetes,Bacteroidetes,1,98.755,98.755,"HMT-317,HMT-317","SUBP,SUPP",100,,"Prevotella sp. HMT 317,Prevotella sp. HMT 317","Clone: C3MKM081,Strain: B31FD","317_8624,317_5061","AY278624,AY005061","Unnamed,Unnamed",
V3V5_307_Bacteroidetes,Bacteroidetes,1,98.755,98.755,HMT-317,"SUBP,SUPP",100,,Prevotella sp. HMT 317,Strain: B31FD,317_5061,AY005061,Unnamed,
V3V5_184_Betaproteobacteria,Betaproteobacteria,1,98.729,98.729,HMT-683,HP,100,,Simonsiella muelleri,Strain: ATCC29453T,683_8147,AF328147,Named,
V3V5_387_Spirochaetes,Spirochaetes,1,98.585,98.585,HMT-238,SUBP,100,,Treponema sp. HMT 238,Clone: AT020,238AT020,AF061347,Phylotype,
V3V5_369_Spirochaetes,Spirochaetes,1,98.585,98.585,HMT-927,"SUBP,SUPP",100,,Treponema sp. HMT 927,Clone: nbu415h07c1,927_9278,GQ039278,Phylotype,
V3V5_179_Bacteroidetes,Bacteroidetes,1,98.354,98.354,HMT-396,SV,100,,Prevotella sp. HMT 396,Clone: P4PB_83,396_7050,AY207050,Phylotype,
V3V5_013_Actinobacteria,Actinobacteria,5,100,100,"HMT-180,HMT-180,HMT-180,HMT-172,HMT-701,HMT-181,HMT-181,HMT-181,HMT-671","HP,PT,TD,TH","20,20,20,20,20","Reads equally close to S. meyeri, S. odontolytica, S. lingnae [Not Validly Published], S. sp. HMT 172, and S. sp. HMT 180 were divided equally among taxa.","Schaalia sp. HMT 180,Schaalia sp. HMT 180,Schaalia sp. HMT 180,Schaalia sp. HMT 172,Schaalia odontolyticus,Schaalia lingnae [Not Validly Published],Schaalia lingnae [Not Validly Published],Schaalia lingnae [Not Validly Published],Schaalia meyeri","Strain: C3M24,Strain: C29KA,Strain: Hal-1083,Clone: CT047,Strain: NCTC 9935,Strain: Hal-1065,Clone: ncd2206a07c1,Clone: ncd1350f07c1,Strain: CIP 103148","180_8611,180C29KA,180H1083,172CT047,701_0504,181H1065,181_1692,181_5255,671_2451","AY278611,AF287751,AF385522,AF385504,X80504,AF385521,JF191692,JF115255,X82451","Unnamed,Unnamed,Unnamed,Unnamed,Named,Named,Named,Named,Named",
V3V5_032_Actinobacteria,Actinobacteria,5,100,100,"HMT-175,HMT-175,HMT-893,HMT-893,HMT-169,HMT-169,HMT-176,HMT-171","SUBP,SUPP","20,20,20,20,20",,"Actinomyces sp. HMT 175,Actinomyces sp. HMT 175,Actinomyces oris,Actinomyces oris,Actinomyces sp. HMT 169,Actinomyces sp. HMT 169,Actinomyces naeslundii,Actinomyces sp. HMT 171","Clone: ncd1455a04c1,Clone: EP005,Strain: JCM 16131,Clone: 070043_377,Clone: AG004,Strain: F0496b,Strain: NCTC 10301,Clone: BL008","175_5563,175EP005,893_5935,893_4727,169AG004,169F496b,176_1062,171BL008","JF125563,AY008314,AB545935,JQ464727,AF287747,tbd,X81062,AF385553","Unnamed,Unnamed,Named,Named,Unnamed,Unnamed,Named,Unnamed",
V3V5_172_Actinobacteria,Actinobacteria,6,99.592,99.592,"HMT-175,HMT-175,HMT-893,HMT-893,HMT-169,HMT-169,HMT-176,HMT-176,HMT-171,HMT-171,HMT-170","SUBP,SUPP","16.6667,16.6667,16.6667,16.6667,16.6667,16.6667","Reads equally close to A. naeslundii, A. oris, and A. sp. HMT 169, 170, 171, and 175 were divided equally among taxa.","Actinomyces sp. HMT 175,Actinomyces sp. HMT 175,Actinomyces oris,Actinomyces oris,Actinomyces sp. HMT 169,Actinomyces sp. HMT 169,Actinomyces naeslundii,Actinomyces naeslundii,Actinomyces sp. HMT 171,Actinomyces sp. HMT 171,Actinomyces sp. HMT 170","Clone: ncd1455a04c1,Clone: EP005,Strain: JCM 16131,Clone: 070043_377,Clone: AG004,Strain: F0496b,Clone: 069082_029,Strain: NCTC 10301,Clone: BL008,Clone: JA063,Clone: AP064","175_5563,175EP005,893_5935,893_4727,169AG004,169F496b,176_0512,176_1062,171BL008,171JA063,170AP064","JF125563,AY008314,AB545935,JQ464727,AF287747,tbd,JQ450512,X81062,AF385553,AY349367,AF287749","Unnamed,Unnamed,Named,Named,Unnamed,Unnamed,Named,Named,Unnamed,Unnamed,Unnamed",
V3V5_320_Actinobacteria,Actinobacteria,5,99.592,99.592,"HMT-175,HMT-175,HMT-893,HMT-893,HMT-169,HMT-169,HMT-169,HMT-176,HMT-171","SUBP,SUPP","20,20,20,20,20",,"Actinomyces sp. HMT 175,Actinomyces sp. HMT 175,Actinomyces oris,Actinomyces oris,Actinomyces sp. HMT 169,Actinomyces sp. HMT 169,Actinomyces sp. HMT 169,Actinomyces naeslundii,Actinomyces sp. HMT 171","Clone: ncd1455a04c1,Clone: EP005,Strain: JCM 16131,Clone: 070043_377,Clone: AG004,Strain: F0496a,Strain: F0496b,Strain: NCTC 10301,Clone: BL008","175_5563,175EP005,893_5935,893_4727,169AG004,169F496a,169F496b,176_1062,171BL008","JF125563,AY008314,AB545935,JQ464727,AF287747,tbd,tbd,X81062,AF385553","Unnamed,Unnamed,Named,Named,Unnamed,Unnamed,Unnamed,Named,Unnamed",
V3V5_139_Actinobacteria,Actinobacteria,3,100,100,"HMT-176,HMT-171,HMT-170","SUBP,SUPP","33.3333,33.3333,33.3333","Reads equally close to A. naeslundii, A. sp. HMT 170, and A. sp. HMT 171 were assigned one-third to each taxon.","Actinomyces naeslundii,Actinomyces sp. HMT 171,Actinomyces sp. HMT 170","Clone: 069082_029,Clone: JA063,Clone: AP064","176_0512,171JA063,170AP064","JQ450512,AY349367,AF287749","Named,Unnamed,Unnamed",
V3V5_101_Gammaproteobacteria,Gammaproteobacteria,3,100,100,"HMT-512,HMT-762,HMT-513","SUBP,SUPP","33.3333,33.3333,33.3333","Reads equally close to A. segnis, A. sp. HMT 512, and A. sp. HMT 513 were assigned one-third to each taxon.","Aggregatibacter sp. HMT 512,Aggregatibacter segnis,Aggregatibacter sp. HMT 513","Clone: MB3_C24,Strain: ATCC 33393,Clone: MB3_C38","512_3621,762_5043,513_3635","DQ003621,M75043,DQ003635","Lost,Named,Phylotype",
V3V5_052_Gammaproteobacteria,Gammaproteobacteria,2,100,100,"HMT-458,HMT-898","BM,SUBP,SUPP,SV","50,50",Reads equally close to A. sp. HMT 458 and A. sp. HMT 898 were assigned half to each taxon.,"Aggregatibacter sp. HMT 458,Aggregatibacter sp. HMT 898","Clone: JM053,Clone: HS19_2W_I12","458JM053,898-Wade","AY349380,KC203060","Unnamed,Phylotype",
V3V5_102_Gammaproteobacteria,Gammaproteobacteria,2,99.573,99.573,"HMT-458,HMT-898",KG,"50,50",,"Aggregatibacter sp. HMT 458,Aggregatibacter sp. HMT 898","Clone: JM053,Clone: HS19_2W_I12","458JM053,898-Wade","AY349380,KC203060","Unnamed,Phylotype",
V3V5_317_Gammaproteobacteria,Gammaproteobacteria,2,99.573,99.573,"HMT-458,HMT-898","SUBP,SUPP,SV","50,50",,"Aggregatibacter sp. HMT 458,Aggregatibacter sp. HMT 898","Clone: JM053,Clone: HS19_2W_I12","458JM053,898-Wade","AY349380,KC203060","Unnamed,Phylotype",
V3V5_031_Epsilonproteobacteria,Epsilonproteobacteria,2,100,100,"HMT-580,HMT-575",SV,"50,50",Reads equally close to C. curvus and C. concisus were assigned half to each taxon.,"Campylobacter curvus,Campylobacter concisus","Strain: Goto C10,Strain: FDC 288","580_C10,575_6977","tbd,L06977","Named,Named",
V3V5_100_Epsilonproteobacteria,Epsilonproteobacteria,2,100,100,"HMT-748,HMT-748,HMT-763","SUBP,SUPP,SV","50,50",Reads equally close to C. rectus and C. showae were assigned half to each taxon.,"Campylobacter rectus,Campylobacter rectus,Campylobacter showae","Strain: CCUG 19168,Strain: ATCC 33238,Strain: CCUG 3054","748_6973,748_4317,763_6974","L06973,L04317,L06974","Named,Named,Named",
V3V5_161_Bacteroidetes,Bacteroidetes,3,100,100,"HMT-412,HMT-700,HMT-903","SUBP,SUPP","33.3333,33.3333,33.3333","Reads equally close to C. ochraceae, C. sp. HMT 412, and C. sp. HMT 903 were assigned one-third to each taxon.","Capnocytophaga sp. HMT 412,Capnocytophaga ochracea,Capnocytophaga sp. HMT 903","Strain: F0487,Strain: ATCC 33596,Clone: HS5_2W_I24","412F0487,700_4635,903-Wade","tbd,L14635,KC203061","Unnamed,Named,Phylotype",
V3V5_296_Bacteroidetes,Bacteroidetes,2,100,100,"HMT-336,HMT-380","SUBP,SUPP","50,50",Reads equally close to C. sp. HMT 336 and 380 were assigned half to each taxon.,"Capnocytophaga sp. HMT 336,Capnocytophaga sp. HMT 380","Clone: _X089,Strain: F0488","336_X089,380F0488","AY005080,tbd","Unnamed,Unnamed",
V3V5_300_Bacteroidetes,Bacteroidetes,2,100,100,"HMT-335,HMT-902","SUBP,SUPP","50,50",Reads equally close to C. sp. HMT 335 and 902 were assigned half to each taxon.,"Capnocytophaga sp. HMT 335,Capnocytophaga sp. HMT 902","Clone: 069096_232,Clone: FL163","335_4775,902-Wade","JQ454775,JQ406542","Unnamed,Phylotype",
V3V5_282_Bacteroidetes,Bacteroidetes,2,99.587,99.587,"HMT-335,HMT-902","SUBP,SUPP","50,50",,"Capnocytophaga sp. HMT 335,Capnocytophaga sp. HMT 902","Clone: 069096_232,Clone: FL163","335_4775,902-Wade","JQ454775,JQ406542","Unnamed,Phylotype",
